 retail_chain_id |      centre_id      | retailer_id |                              name                              
              31 | carindale           |        5293 | Jeanswest
              31 | fountaingate        |        4682 | Jeanswest
              32 | woden               |       25686 | Jetty Surf
              32 | teatreeplaza        |        3853 | Jetty Surf
              32 | westlakes           |       22930 | Jetty Surf
              32 | southland           |        3496 | Jetty Surf
              32 | marion              |       17196 | Jetty Surf
              32 | belconnen           |       20085 | Jetty Surf
              33 | miranda             |        3020 | Just Jeans
              33 | woden               |       25693 | Just Jeans
              33 | whitfordcity        |       21846 | Just Jeans
              33 | northlakes          |       32037 | Just Jeans
              33 | fountaingate        |        4679 | Just Jeans
              33 | burwood             |         707 | Just Jeans
              33 | chermside           |        1371 | Just Jeans
              33 | carindale           |        5340 | Just Jeans 
              33 | innaloo             |        1106 | Just Jeans
              33 | teatreeplaza        |        3702 | Just Jeans
              33 | tuggerah            |        2528 | Just Jeans
              33 | southland           |        3518 | Just Jeans
              33 | warrawong           |         599 | Just Jeans
              33 | knox                |       48602 | Just Jeans
              33 | hornsby             |        1547 | Just Jeans
              33 | airportwest         |          41 | Just Jeans
              33 | warringahmall       |       48984 | Just Jeans
              33 | kotara              |       18603 | Just Jeans
              33 | bondijunction       |        4535 | Just Jeans
              33 | plentyvalley        |       33572 | Just Jeans
              33 | marion              |       17170 | Just Jeans
              33 | carousel            |         977 | Just Jeans
              33 | belconnen           |       17465 | Just Jeans
              33 | gardencity          |       18806 | Just Jeans
              33 | chatswood           |        1803 | Just Jeans
              33 | westlakes           |       22311 | Just Jeans
              33 | doncaster           |       34592 | Just Jeans
              33 | parramatta          |        4348 | Just Jeans
              33 | geelong             |       18002 | Just Jeans
              33 | hurstville          |        3953 | Just Jeans
              33 | strathpine          |         481 | Just Jeans
              33 | penrith             |       24770 | Just Jeans
              33 | eastgardens         |        4949 | Just Jeans
              33 | helensvale          |       25834 | Just Jeans
              33 | liverpool           |        3251 | Just Jeans
              33 | figtree             |         169 | Just Jeans
              33 | toombul             |         231 | Just Jeans
              33 | galleria            |        2087 | Just Jeans
              34 | chatswood           |       36847 | Katies
              34 | innaloo             |       45984 | Katies
              34 | burwood             |         757 | Katies
              34 | knox                |       48623 | Katies
              34 | doncaster           |       50698 | Katies
              34 | penrith             |       24771 | Katies
              34 | liverpool           |        3249 | Katies
              34 | whitfordcity        |       42352 | Katies
              34 | northlakes          |       18433 | Katies
              34 | tuggerah            |        2433 | Katies
              34 | chatswood           |        1907 | Katies
              34 | toombul             |         344 | Katies
              34 | westlakes           |       22316 | Katies
